"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
5878;218;205,756989260785;"1-100%";"Chenaie";1;24,0642858232771;24,5;42
5878;267;40;"3-100%";"Hetraie";1;13,5214285850525;12,8000001907349;42
5878;282;147;"3-100%";"Hetraie";0;18,0973686419035;17,7000007629395;38
5878;292;191,986190673572;"1-100%";"Chenaie";0;26,5375000476837;26,1000003814697;40
5878;298;187,857672204092;"1-100%";"Chenaie";1;23,4658532491544;23,7000007629395;41
5912;31;156,701444645446;"1-100%";"Chenaie";1;17,8410258170886;18,5;39
5912;42;166;"1-100%";"Chenaie";1;18,6000000181652;19,2999992370605;42
5912;58;174,841178182051;"1-100%";"Chenaie";0;22,9738093330747;23,2000007629395;42
5912;101;188;"1-100%";"Chenaie";0;24,7380953289214;24,5;42
5912;122;219,833950904774;"1-100%";"Chenaie";0;25,6333334786551;26,1000003814697;42
5912;132;172,947313760961;"1-100%";"Chenaie";1;23,6499998569489;23,8999996185303;40
5912;181;224;"1-95%;3-5%";"Chenaie";1;21,8846155802409;22,3999996185303;39
5912;191;217;"1-100%";"Chenaie";1;26,4967741197155;25,7000007629395;31
5912;197;153;"1-100%";"Chenaie";0;18,3864861565667;18,7999992370605;37
5912;208;174,545108007785;"1-100%";"Chenaie";0;21,5878048408322;21,7999992370605;41
5912;218;208,620923339821;"1-100%";"Chenaie";0;26,8200002670288;27,5;40
5912;267;148,736568804805;"1-100%";"Chenaie";0;21,9488371472026;22;43
5912;277;151;"3-61%;1-39%";"Hetraie";1;26,2150000572205;27,75;40
5912;282;240;"1-100%";"Chenaie";1;25,9609756934934;25,7000007629395;41
5912;292;123;"3-100%";"Hetraie";0;23,6571429116385;24,3999996185303;42
5934;37;215;"3-100%";"Hetraie";0;30,9999998092651;31,2000007629395;40
5956;48;188;"1-100%";"Chenaie";0;28,8571431750343;29;42
6234;267;135;"1-100%";"Chenaie";1;25,9142859776815;26,7999992370605;42
6334;48;139,457176312116;"1-100%";"Chenaie";1;18,5274999141693;18,2999992370605;40
6334;101;153,778601206365;"11-65%;1-35%";"Autres peuplements feuillus";1;25,4804882421726;24,7000007629395;41
6334;122;67;"3-100%";"Hetraie";1;22,2652176566746;22,1000003814697;23
6334;132;222,380322615003;"3-100%";"Hetraie";1;29,1095238186064;29,5;42
6334;181;193,930953367862;"1-62%;3-38%";"Chenaie";1;24,7904763902937;24,2000007629395;42
6334;197;201,772554003893;"1-78%;3-22%";"Chenaie";0;26,8349997520447;26,8500003814697;40
6334;282;177,521345308427;"1-80%;11-20%";"Chenaie";1;23,2162791850955;22,7999992370605;43
6334;298;200,711901738264;"1-100%";"Chenaie";0;29,0315789674458;25,2999992370605;38
6434;191;41;"3-100%";"Hetraie";1;17,0214290164766;16,5;42
6512;52;217,49069968929;"3-100%";"Hetraie";0;29,4928569793701;30,2999992370605;42
6578;31;89;"1-100%";"Chenaie";0;19,544736912376;19,9499998092651;38
6712;292;189;"4-42%;13-30%";"Autres peuplements feuillus";1;27,5439023273747;28,3999996185303;41
6734;277;187;"1-100%";"Chenaie";0;30,4023809432983;30,8999996185303;42
6756;261;218,924184667964;"3-100%";"Hetraie";0;28,9405409323203;29,7000007629395;37
6778;218;289,863462903492;"1-83%;4-17%";"Chenaie";1;27,6357143492926;28;42
6778;277;195;"1-80%;3-20%";"Chenaie";1;31,1621615951126;32,0999984741211;37
6812;31;85;"3-100%";"Hetraie";1;24,1049996376038;23,8999996185303;40
6812;48;189,917144041434;"3-72%;1-28%";"Hetraie";1;31,4199994087219;32,0999984741211;40
6856;58;202,789255043844;"1-100%";"Chenaie";1;25,1024389499571;25,3999996185303;41
7034;181;228,484455742157;"1-100%";"Chenaie";1;24,3874997138977;24,3999996185303;40
7112;267;253,420451370571;"3-76%;1-24%";"Hetraie";1;27,4600002288818;27,3999996185303;40
7112;271;201,89385853515;"1-100%";"Chenaie";1;27,0756099049638;26,7000007629395;41
7112;288;135;"3-70%;1-30%";"Hetraie";1;25,1121949451726;24,6000003814697;41
