"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
5934;299;173,8480974096;"3-100%";"Hetraie";1;27,573684591996;27,7000007629395;19
5934;309;201;"1-100%";"Chenaie";1;28,5624995231628;28,2999992370605;16
5934;312;248,331720465;"1-100%";"Chenaie";1;26,4888886345757;27;18
5934;313;201,949079288;"3-76%;1-24%";"Hetraie";1;26,6437495946884;27,3999996185303;16
5934;319;189,7730063114;"3-54%;1-46%";"Hetraie";1;26,0812505483627;26,2000007629395;16
5956;13;194,9696738672;"1-100%";"Chenaie";1;27,6562501192093;27,5;16
5956;14;230,8339509042;"1-100%";"Chenaie";1;22,8062498569489;22,8999996185303;16
5956;16;221,671935501;"1-100%";"Chenaie";1;19,25;21,6000003814697;16
5956;18;93;"11-99%;1-1%";"Autres peuplements feuillus";1;21,0187505483627;20,7000007629395;16
5956;25;208,684086038;"1-100%";"Chenaie";1;24,2555556827121;24,2999992370605;18
5956;33;208;"1-100%";"Chenaie";1;27,3937494754791;27,2999992370605;16
5956;34;283,6049978912;"3-70%;1-30%";"Hetraie";1;28,2333331637912;28;18
5956;35;218,830367598;"3-53%;1-47%";"Hetraie";1;29,7277779049344;29,9500007629395;18
5956;37;270,6768672644;"1-99%;3-1%";"Chenaie";1;28,1105260347065;29,1000003814697;19
5956;39;110;"27-99%;11-1%";"Autres peuplements feuillus";1;23,0315784655119;24,2999992370605;19
5956;48;188;"1-100%";"Chenaie";1;28,7187501192093;29;16
5956;49;188,5946541275;"1-100%";"Chenaie";1;27,7857138315837;28,2999992370605;21
5956;51;186,8972077026;"1-100%";"Chenaie";1;25,081249833107;25;16
5956;53;210,9711233056;"1-70%;3-30%";"Chenaie";1;30,2421052832352;30,1000003814697;19
5956;56;87;"3-99%;1-1%";"Hetraie";1;22,6555550893148;22,3999996185303;18
5956;59;229,7716929639;"3-76%;1-24%";"Hetraie";1;29,8999998910087;30,3999996185303;21
5956;60;105;"11-100%";"Autres peuplements feuillus";1;21,7476190839495;22,2999992370605;21
5956;61;156,9185268608;"1-100%";"Chenaie";1;23,456249833107;23,3999996185303;16
5956;62;86;"1-100%";"Chenaie";1;22,6999998092651;23,3999996185303;18
5956;72;206,762787006;"1-100%";"Chenaie";1;26,5222225189209;26,6000003814697;18
5956;73;264;"1-100%";"Chenaie";1;26,2937496900558;25,8999996185303;16
5956;74;164,9898158576;"1-100%";"Chenaie";1;26,9277776082357;27;18
5956;77;263,3923896384;"1-55%;3-45%";"Chenaie";1;28,8312504291534;29,1000003814697;16
5956;91;172,924184668;"1-100%";"Chenaie";1;27,8111106024848;27,2999992370605;18
5956;92;203,9367432016;"3-52%;1-48%";"Hetraie";1;28,0499995946884;27,7999992370605;16
5956;93;164,9362095912;"1-52%;3-48%";"Chenaie";1;29,1999997033013;28,5;18
5956;94;210;"1-100%";"Chenaie";1;27,3250004053116;27,1000003814697;16
5956;96;196,9297516812;"1-100%";"Chenaie";1;23,4437497854233;23,3999996185303;16
5956;98;195,769139797;"1-100%";"Chenaie";1;24,75;24,5;16
