terr_id;n_in_mask;n_eligible;n_keep;n_removed;quantile;area_in_mask_ha;area_eligible_ha;area_keep_ha;area_removed_ha;prop_keep_vs_mask_pct;prop_keep_vs_eligible_pct;prop_eligible_vs_mask_pct
17;613774;613637;151096;462541;q75;6137,74;6136,37;1510,96;4625,41;24,6175302309971;24,6230263168616;99,9776790805736
17';935318;935284;225608;709676;q75;9353,18;9352,84;2256,08;7096,76;24,1209941431684;24,1218710038876;99,9963648726957
18;835236;833594;203112;630482;q75;8352,36;8335,94;2031,12;6304,82;24,3179173311495;24,3658183720132;99,8034088568979
19;1058536;1057942;253592;804350;q75;10585,36;10579,42;2535,92;8043,5;23,9568611743011;23,9703121721229;99,9438847615953
20;1582195;1582184;382209;1199975;q75;15821,95;15821,84;3822,09;11999,75;24,1568833171638;24,1570512658452;99,9993047633193
21;725541;723697;178271;545426;q75;7255,41;7236,97;1782,71;5454,26;24,5707685713144;24,6333755701627;99,7458448247584
22;882195;882161;213272;668889;q75;8821,95;8821,61;2132,72;6688,89;24,1751540192361;24,1760857711914;99,9961459767965
23;308997;307504;75048;232456;q75;3089,97;3075,04;750,48;2324,56;24,2876144428587;24,4055361881471;99,5168237879332
24;126706;124149;30380;93769;q75;1267,06;1241,49;303,8;937,69;23,9767651097817;24,4705958163175;97,9819424494499
25;1025776;1025747;249219;776528;q75;10257,76;10257,47;2492,19;7765,28;24,2956551917768;24,2963420804545;99,9971728720501
26;210827;208747;50325;158422;q75;2108,27;2087,47;503,25;1584,22;23,8702822693488;24,1081308952943;99,0134090984551
27;161615;161067;38987;122080;q75;1616,15;1610,67;389,87;1220,8;24,1233796367911;24,2054548728169;99,6609225628809
01;242652;241030;47435;193595;q80;2426,52;2410,3;474,35;1935,95;19,5485716169659;19,6801228062897;99,3315530059509
02;1096019;1096019;214832;881187;q80;10960,19;10960,19;2148,32;8811,87;19,6011200535757;19,6011200535757;100
03;53956;52312;10119;42193;q80;539,56;523,12;101,19;421,93;18,754170064497;19,3435540602539;96,9530728741938
04;222970;221592;42597;178995;q80;2229,7;2215,92;425,97;1789,95;19,10436381576;19,2231669013322;99,3819796385164
05;859348;858223;163441;694782;q80;8593,48;8582,23;1634,41;6947,82;19,019186639173;19,0441179040879;99,8690867960361
06;453406;453395;87383;366012;q80;4534,06;4533,95;873,83;3660,12;19,2725724847047;19,273040064403;99,9975739182984
