key;prop_keep;prop_keep_pct;quantile;p;terr_num;topo
41;0,249605392261422;24,9605392261422;q75;0,75;4;1
43;0,245284542994467;24,5284542994467;q75;0,75;4;3
51;0,243013204915446;24,3013204915446;q75;0,75;5;1
53;0,247890093027717;24,7890093027717;q75;0,75;5;3
54;0,248674130819093;24,8674130819093;q75;0,75;5;4
61;0,243615345496943;24,3615345496943;q75;0,75;6;1
63;0,249656339219626;24,9656339219626;q75;0,75;6;3
64;0,249371121918497;24,9371121918497;q75;0,75;6;4
71;0,245804597701149;24,5804597701149;q75;0,75;7;1
73;0,247164222238278;24,7164222238278;q75;0,75;7;3
81;0,24668647166362;24,668647166362;q75;0,75;8;1
83;0,244608630716662;24,4608630716662;q75;0,75;8;3
84;0,240969507427678;24,0969507427678;q75;0,75;8;4
91;0,249273220601773;24,9273220601773;q75;0,75;9;1
93;0,242885721168449;24,2885721168449;q75;0,75;9;3
94;0,245474613686534;24,5474613686534;q75;0,75;9;4
101;0,247798650727323;24,7798650727323;q75;0,75;10;1
103;0,246081126151511;24,6081126151511;q75;0,75;10;3
104;0,238133893610925;23,8133893610925;q75;0,75;10;4
111;0,243310014602506;24,3310014602506;q75;0,75;11;1
113;0,244938665215109;24,4938665215109;q75;0,75;11;3
114;0,247623428396198;24,7623428396198;q75;0,75;11;4
121;0,241239750675334;24,1239750675334;q75;0,75;12;1
123;0,235377445918394;23,5377445918394;q75;0,75;12;3
124;0,245638110174476;24,5638110174476;q75;0,75;12;4
131;0,246194470332401;24,6194470332401;q75;0,75;13;1
133;0,247740226840924;24,7740226840924;q75;0,75;13;3
141;0,24319769561294;24,319769561294;q75;0,75;14;1
143;0,245192229958058;24,5192229958058;q75;0,75;14;3
144;0,246114772933422;24,6114772933422;q75;0,75;14;4
151;0,244809036429384;24,4809036429384;q75;0,75;15;1
153;0,246219478357381;24,6219478357381;q75;0,75;15;3
161;0,239743973936362;23,9743973936362;q75;0,75;16;1
163;0,241442786491691;24,1442786491691;q75;0,75;16;3
164;0,249594335447706;24,9594335447706;q75;0,75;16;4
171;0,241946662648787;24,1946662648787;q75;0,75;17;1
173;0,240256810688877;24,0256810688877;q75;0,75;17;3
181;0,244182124789207;24,4182124789207;q75;0,75;18;1
183;0,24687825182102;24,687825182102;q75;0,75;18;3
191;0,242505161555045;24,2505161555045;q75;0,75;19;1
193;0,241556881732538;24,1556881732538;q75;0,75;19;3
194;0,24611801242236;24,611801242236;q75;0,75;19;4
201;0,240832409801749;24,0832409801749;q75;0,75;20;1
203;0,245241581259151;24,5241581259151;q75;0,75;20;3
211;0,244623513870542;24,4623513870542;q75;0,75;21;1
213;0,241807160447054;24,1807160447054;q75;0,75;21;3
221;0,247338084556631;24,7338084556631;q75;0,75;22;1
223;0,242350761518132;24,2350761518132;q75;0,75;22;3
224;0,24847250509165;24,847250509165;q75;0,75;22;4
231;0,244930278750788;24,4930278750788;q75;0,75;23;1
233;0,245409775817714;24,5409775817714;q75;0,75;23;3
234;0,244427106553723;24,4427106553723;q75;0,75;23;4
241;0,233563166421763;23,3563166421763;q75;0,75;24;1
243;0,236274774369584;23,6274774369584;q75;0,75;24;3
244;0,248355590990632;24,8355590990632;q75;0,75;24;4
251;0,246607083747104;24,6607083747104;q75;0,75;25;1
253;0,248378421135896;24,8378421135896;q75;0,75;25;3
261;0,23309053069719;23,309053069719;q75;0,75;26;1
263;0,239016736401674;23,9016736401674;q75;0,75;26;3
264;0,249836921069798;24,9836921069798;q75;0,75;26;4
271;0,244532428355958;24,4532428355958;q75;0,75;27;1
